Title,Topic,Name,CustomName,Representation,open_ai,Representative_Docs,Top_n_words,Probability,Representative_document
"Conditioned pain modulation, kinesiophobia, and pain catastrophizing as prognostic factors for chronicity in a population with acute low back pain: An exploratory prospective study",2,2_pain_chronic_low_syndrome,Chronic Pain Management and Treatment Studies,"['pain', 'chronic', 'low', 'syndrome', 'self', 'acute', 'associated', 'individuals', 'intervention', 'study protocol']",['Chronic Pain Management and Treatment Studies'],"['Effectiveness of physiotherapy interventions for back care and the prevention of non-specific low back pain in children and adolescents: a systematic review and meta-analysis', 'Comparison of the effect of psychosocial skills training on acute and chronic musculoskeletal pain intensity: The effectiveness of early intervention in the reduction of acute musculoskeletal pain', 'Pain catastrophising and kinesiophobia mediate pain and physical function improvements with Pilates exercise in chronic low back pain: a mediation analysis of a randomised controlled trial']",pain - chronic - low - syndrome - self - acute - associated - individuals - intervention - study protocol,1,FALSE
The behavioural regulation in exercise questionnaire (BREQ): psychometric properties and associations with physical activity outcomes in a Norwegian sample of physically active adults,3,3_older adults_older_physical activity_community,Physical Activity and Health in Older Adults,"['older adults', 'older', 'physical activity', 'community', 'adults', 'validity', 'activity', 'association', 'disease', 'interventions']",['Physical Activity and Health in Older Adults'],"['The Impact of the Physical Activity Level on Sarcopenic Obesity in Community-Dwelling Older Adults', 'Older adults benefit from a new community-based physical activity programme', 'Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors']",older adults - older - physical activity - community - adults - validity - activity - association - disease - interventions,0.578414762,FALSE
Compression-Only Cardiopulmonary Resuscitation and Automated External Defibrillator Course for Primary School Students: A Malaysian Pilot Study,1,1_players_athletes_performance_injury,Athletic Performance and Injury Prevention in Young Players,"['players', 'athletes', 'performance', 'injury', 'influence', 'sports', 'muscles', 'strength', 'pilot', 'association']",['Athletic Performance and Injury Prevention in Young Players'],"['Impact of small-sided games and running-based high-intensity interval training on physical performance in female football players', 'Maximizing plyometric training for adolescents: a meta-analysis of ground contact frequency and overall intervention time on jumping ability: a systematic review and meta-analysis', 'Changes in physical performance, body composition and physical training during military operations: systematic review and meta-analysis']",players - athletes - performance - injury - influence - sports - muscles - strength - pilot - association,0.894340437,FALSE
"Tibial Tubercle Osteotomy: Anterior, Medial and Distal Corrections",0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Poor cardiorespiratory fitness may be an indicator of more severe liver inflammation in non-alcoholic fatty liver disease patients,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Age-specific biomechanical challenges and engagement in dynamic balance training with robotic or virtual real-time visual feedback,10,10_dynamic_changes_low_older adults,Impact and Control of Chronic Low Back Pain and Balance in Older Adults,"['dynamic', 'changes', 'low', 'older adults', 'community', 'gait', 'control', 'older', 'relationship', 'risk']",['Impact and Control of Chronic Low Back Pain and Balance in Older Adults'],"['Reliability and criterion validity of handheld dynamometry for measuring trunk muscle strength in people with and without chronic non-specific low back pain', 'The changes of blood-based inflammatory biomarkers after non-pharmacologic interventions for chronic low back pain: a systematic review', 'Prevalence, risk factors and effectiveness of falls prevention interventions for adults living with Mild Cognitive Impairment in the community: A systematic review and meta-analysis']",dynamic - changes - low - older adults - community - gait - control - older - relationship - risk,1,FALSE
Emerging Treatment Options for Chronic Tendinopathy of the Foot: A Clinical Vignette,13,13_case_reliability_young_functional,Achilles Tendon Health & Rehabilitation Research,"['case', 'reliability', 'young', 'functional', 'differences', 'versus', 'muscles', 'early', 'chronic', 'validity']",['Achilles Tendon Health & Rehabilitation Research'],"['Return to Sports and Functional Outcomes after Autologous Platelet-Rich Fibrin Matrix (PRFM) and Debridement in Midportion Achilles Tendinopathy: A Case Series with 24-Month Follow-Up', 'Reverse Fragility Index Comparing Rates of Rerupture After Open Achilles Tendon Repair Versus Early Functional Rehabilitation: A Systematic Review of Randomized Controlled Trials', 'Ultrasound is more reliable than clinical tests to both confirm and rule out pathologies of the long head of the biceps: a systematic review and meta-analysis']",case - reliability - young - functional - differences - versus - muscles - early - chronic - validity,0.809242336,FALSE
Acute Recovery after a Fatigue Protocol Using a Recovery Sports Legging: An Experimental Study,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Insall proximal realignment with/without tibial tubercle osteotomy for recurrent patellar instability yields acceptable medium- to long-term results but risk of osteoarthritis progression is considerable,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Correlations between core muscle strength endurance and upper-extremity performance in adolescent male sub-elite handball players,18,18_players_influence_prospective_relationship,Muscular Strength and Injury Risk in Athletes,"['players', 'influence', 'prospective', 'relationship', 'strength', 'high', 'resistance', 'muscle', 'risk', 'cohort']",['Muscular Strength and Injury Risk in Athletes'],"['The influence of testing positions and resistance locations on muscle activities during shoulder internal rotation strength measurements in young healthy adults', 'A 6-week randomized-controlled field study: effect of isokinetic eccentric resistance training on strength, flexibility and muscle structure of the shoulder external rotators in male junior handball players', 'The relationship between body height and plantar pressure distribution in adult handball players: A cross-sectional study']",players - influence - prospective - relationship - strength - high - resistance - muscle - risk - cohort,0.957478852,FALSE
"Interactions between monthly training volume, frequency and running distance per workout on marathon time",16,16_lower limb_limb_lower_differences,Lower Limb Muscle Strength and Biomechanics Studies,"['lower limb', 'limb', 'lower', 'differences', 'muscle strength', 'healthy', 'time', 'body', 'reliability', 'women']",['Lower Limb Muscle Strength and Biomechanics Studies'],"['Kinematics and muscle activity of the lower limb during single-leg stance on the two sides of the Togu Jumper', 'Can early golfing lead to acetabular and lower limb changes? A cross-sectional study', 'Relationships among lateral medicine ball throw test performance, HIP and trunk muscle strength, and lower limb kinematics: A cross-sectional study']",lower limb - limb - lower - differences - muscle strength - healthy - time - body - reliability - women,1,FALSE
Modifiable factors influencing length of stay after total knee arthroplasty,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
"Intra-Rater and Test–Retest Reliability of Barbell Force, Velocity, and Power during the Landmine Punch Throw Test Assessed by the GymAware Linear Transducer System",16,16_lower limb_limb_lower_differences,Lower Limb Muscle Strength and Biomechanics Studies,"['lower limb', 'limb', 'lower', 'differences', 'muscle strength', 'healthy', 'time', 'body', 'reliability', 'women']",['Lower Limb Muscle Strength and Biomechanics Studies'],"['Kinematics and muscle activity of the lower limb during single-leg stance on the two sides of the Togu Jumper', 'Can early golfing lead to acetabular and lower limb changes? A cross-sectional study', 'Relationships among lateral medicine ball throw test performance, HIP and trunk muscle strength, and lower limb kinematics: A cross-sectional study']",lower limb - limb - lower - differences - muscle strength - healthy - time - body - reliability - women,0.954747092,FALSE
Leveraging Machine Learning for Disease Diagnoses Based on Wearable Devices: A Survey,5,5_gait_reliability_knee_validity,"Knee Assessment and Recovery: Validity, Reliability, and Clinical Trials","['gait', 'reliability', 'knee', 'validity', 'dynamic', 'limb', 'using', 'syndrome', 'clinical trial', 'joint']","['Knee Assessment and Recovery: Validity, Reliability, and Clinical Trials']","['Reliability and validity of a low-cost, wireless sensor and smartphone app for measuring force during isometric and dynamic resistance exercises', 'A Beta Version of an Application Based on Computer Vision for the Assessment of Knee Valgus Angle: A Validity and Reliability Study', 'Effectiveness of Kinesiotaping and McConnell taping combined with physical exercise on gait biomechanics in patients with patellofemoral syndrome: non-randomized clinical trial']",gait - reliability - knee - validity - dynamic - limb - using - syndrome - clinical trial - joint,1,FALSE
"A Comparison of Changes in Health Behavior, Obesity, and Mental Health of Korean Adolescents Before and During the COVID-19 Pandemic: Online Cross-Sectional Study",9,9_health_impact_changes_syndrome,"Impact of COVID-19 on Health, Physical Activity and Quality of Life","['health', 'impact', 'changes', 'syndrome', 'intervention', 'quality life', 'survey', 'recovery', 'body', 'clinical trial']","['Impact of COVID-19 on Health, Physical Activity and Quality of Life']","['Intervention Effects of a Kindergarten-Based Health Promotion Programme on Health-Related Quality of Life and Child Sick Days; [Interventionseffekte eines Kindergarten-basierten Gesundheitsförderungsprogramms auf die gesundheitsbezogene Lebensqualität und die Krankheitstage von Kindern]', 'A Pilot Cross-Sectional Study on the Level of Depression and Physical Activity among Students in Poland and Portugal in the Second Year of the COVID-19 Pandemic', 'A Comparison of Changes in Health Behavior, Obesity, and Mental Health of Korean Adolescents Before and During the COVID-19 Pandemic: Online Cross-Sectional Study']",health - impact - changes - syndrome - intervention - quality life - survey - recovery - body - clinical trial,1,TRUE
Association between physical fitness and perceived work ability among Finnish population: a cross-sectional study,1,1_players_athletes_performance_injury,Athletic Performance and Injury Prevention in Young Players,"['players', 'athletes', 'performance', 'injury', 'influence', 'sports', 'muscles', 'strength', 'pilot', 'association']",['Athletic Performance and Injury Prevention in Young Players'],"['Impact of small-sided games and running-based high-intensity interval training on physical performance in female football players', 'Maximizing plyometric training for adolescents: a meta-analysis of ground contact frequency and overall intervention time on jumping ability: a systematic review and meta-analysis', 'Changes in physical performance, body composition and physical training during military operations: systematic review and meta-analysis']",players - athletes - performance - injury - influence - sports - muscles - strength - pilot - association,0.997404189,FALSE
Recurrent atraumatic compartment syndrome as a manifestation of genetic neuromuscular disease,2,2_pain_chronic_low_syndrome,Chronic Pain Management and Treatment Studies,"['pain', 'chronic', 'low', 'syndrome', 'self', 'acute', 'associated', 'individuals', 'intervention', 'study protocol']",['Chronic Pain Management and Treatment Studies'],"['Effectiveness of physiotherapy interventions for back care and the prevention of non-specific low back pain in children and adolescents: a systematic review and meta-analysis', 'Comparison of the effect of psychosocial skills training on acute and chronic musculoskeletal pain intensity: The effectiveness of early intervention in the reduction of acute musculoskeletal pain', 'Pain catastrophising and kinesiophobia mediate pain and physical function improvements with Pilates exercise in chronic low back pain: a mediation analysis of a randomised controlled trial']",pain - chronic - low - syndrome - self - acute - associated - individuals - intervention - study protocol,0.79659635,FALSE
Biomimetic Fibers Based on Equidistant Micropillar Arrays Determines Chondrocyte Fate via Mechanoadaptability,7,7_knee_versus_therapy_efficacy,Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment,"['knee', 'versus', 'therapy', 'efficacy', 'treatment', 'review meta analysis', 'review meta', 'systematic review meta', 'effect', 'case']",['Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment'],"['Platelet-rich plasma treatment for talar cartilage repair: a systematic review and meta-analysis', 'How Does Platelet-Rich Plasma Compare Clinically to Other Therapies in the Treatment of Knee Osteoarthritis? A Systematic Review and Meta-analysis', 'A systematic review and meta-analysis of the effect of phonophoresis on patients with knee osteoarthritis']",knee - versus - therapy - efficacy - treatment - review meta analysis - review meta - systematic review meta - effect - case,0.444102069,FALSE
Do the Testing Posture and the Grip Modality Influence the Shoulder Maximal Voluntary Isometric Contraction?,18,18_players_influence_prospective_relationship,Muscular Strength and Injury Risk in Athletes,"['players', 'influence', 'prospective', 'relationship', 'strength', 'high', 'resistance', 'muscle', 'risk', 'cohort']",['Muscular Strength and Injury Risk in Athletes'],"['The influence of testing positions and resistance locations on muscle activities during shoulder internal rotation strength measurements in young healthy adults', 'A 6-week randomized-controlled field study: effect of isokinetic eccentric resistance training on strength, flexibility and muscle structure of the shoulder external rotators in male junior handball players', 'The relationship between body height and plantar pressure distribution in adult handball players: A cross-sectional study']",players - influence - prospective - relationship - strength - high - resistance - muscle - risk - cohort,1,FALSE
Effects of modern technology (exergame and virtual reality) assisted rehabilitation vs conventional rehabilitation in patients with Parkinson's disease: a network meta-analysis of randomised controlled trials,19,19_motor_interventions_sports_rehabilitation,Virtual Reality Interventions in Motor Rehabilitation and Sports for Older Adults,"['motor', 'interventions', 'sports', 'rehabilitation', 'meta analysis', 'meta', 'controlled', '12', 'based', 'qualitative']",['Virtual Reality Interventions in Motor Rehabilitation and Sports for Older Adults'],"['The Effectiveness of Home-Based Exergames Training on Cognition and Balance in Older Adults: A Comparative Quasi-Randomized Study of Two Exergame Interventions', 'Virtual reality-based exercise interventions on quality of life, some balance factors and depression in older adults: A systematic review and meta-analysis of randomized controlled trials', 'Effects of a 12-week, seated, virtual, home-based tele-exercise programme compared with a prerecorded video-based exercise programme in people with chronic neurological impairments: Protocol for a randomised controlled trial']",motor - interventions - sports - rehabilitation - meta analysis - meta - controlled - 12 - based - qualitative,0.942106076,FALSE
Is Type 2 Diabetes Mellitus a Behavioural Disorder? An Evidence Review for Type 2 Diabetes Mellitus Prevention and Remission through Lifestyle Modification,11,11_adolescents_program_intensity_sectional study,Effects of Exercise Programs on Cardiorespiratory Fitness and Health Outcomes,"['adolescents', 'program', 'intensity', 'sectional study', 'cross sectional study', 'quality life', 'association', 'high', 'clinical trial', 'sectional']",['Effects of Exercise Programs on Cardiorespiratory Fitness and Health Outcomes'],"['Curvilinear association between waist-to-height ratio and cardiorespiratory fitness: a cross-sectional study based on nationwide data from Chinese children and adolescents', 'Effects of high-intensity interval training on physical morphology, cardiorespiratory fitness and metabolic risk factors of cardiovascular disease in children and adolescents: A systematic review and metaanalysis', 'Positive impacts of leisure-time physical activity on cardiorespiratory fitness, co-morbidity level, cardiovascular health and quality of life among midlife adults: a cross-sectional study of a Nigerian population']",adolescents - program - intensity - sectional study - cross sectional study - quality life - association - high - clinical trial - sectional,0.660582307,FALSE
Effects of the Corona Pandemic on Competitive Sports – an Online Survey Amongst 2981 German and Austrian Elite Athletes; [Auswirkungen der Corona-Pandemie auf den Leistungssport – eine Online-Umfrage unter 2981 deutschen und österreichischen Spitzensportlern],1,1_players_athletes_performance_injury,Athletic Performance and Injury Prevention in Young Players,"['players', 'athletes', 'performance', 'injury', 'influence', 'sports', 'muscles', 'strength', 'pilot', 'association']",['Athletic Performance and Injury Prevention in Young Players'],"['Impact of small-sided games and running-based high-intensity interval training on physical performance in female football players', 'Maximizing plyometric training for adolescents: a meta-analysis of ground contact frequency and overall intervention time on jumping ability: a systematic review and meta-analysis', 'Changes in physical performance, body composition and physical training during military operations: systematic review and meta-analysis']",players - athletes - performance - injury - influence - sports - muscles - strength - pilot - association,1,FALSE
A self-managed exercise therapy program for wrist osteoarthritis: study protocol for a randomized controlled trial,7,7_knee_versus_therapy_efficacy,Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment,"['knee', 'versus', 'therapy', 'efficacy', 'treatment', 'review meta analysis', 'review meta', 'systematic review meta', 'effect', 'case']",['Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment'],"['Platelet-rich plasma treatment for talar cartilage repair: a systematic review and meta-analysis', 'How Does Platelet-Rich Plasma Compare Clinically to Other Therapies in the Treatment of Knee Osteoarthritis? A Systematic Review and Meta-analysis', 'A systematic review and meta-analysis of the effect of phonophoresis on patients with knee osteoarthritis']",knee - versus - therapy - efficacy - treatment - review meta analysis - review meta - systematic review meta - effect - case,0.688088258,FALSE
Subacromial Platelet-Rich Plasma Injections Produce Significantly Worse Improvement in Functional Outcomes in Patients With Partial Supraspinatus Tears Than in Patients With Isolated Tendinopathy,7,7_knee_versus_therapy_efficacy,Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment,"['knee', 'versus', 'therapy', 'efficacy', 'treatment', 'review meta analysis', 'review meta', 'systematic review meta', 'effect', 'case']",['Therapeutic Interventions and Their Efficacy in Osteoarthritis Treatment'],"['Platelet-rich plasma treatment for talar cartilage repair: a systematic review and meta-analysis', 'How Does Platelet-Rich Plasma Compare Clinically to Other Therapies in the Treatment of Knee Osteoarthritis? A Systematic Review and Meta-analysis', 'A systematic review and meta-analysis of the effect of phonophoresis on patients with knee osteoarthritis']",knee - versus - therapy - efficacy - treatment - review meta analysis - review meta - systematic review meta - effect - case,1,FALSE
The effect of a 6-month intradialytic exercise program on hemodialysis adequacy and body composition: a randomized controlled trial,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
