Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords,clustering_plus_chat_gpt_titles,bertopic_titles,bertopic_abstracts
Gardner A.W.; Montgomery P.S.; Zhang S.; Pomilla W.A.; Wang M.; Shen B.; Liang M.,"Gardner, Andrew W. (7202406096); Montgomery, Polly S. (35559304200); Zhang, Shangming (7409372147); Pomilla, William A. (57223417314); Wang, Ming (57539102000); Shen, Biyi (57210120562); Liang, Menglu (57216183732)",7202406096; 35559304200; 7409372147; 57223417314; 57539102000; 57210120562; 57216183732,Diabetes Is Negatively Associated With Meeting Physical Activity Time-Intensity Guidelines in Patients With Claudication,2023,Journal of Cardiopulmonary Rehabilitation and Prevention,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148965226&doi=10.1097%2fHCR.0000000000000731&partnerID=40&md5=f648775c0655369a4322ed05bea7bc8c,"Purposes: We determined the percentage of patients with peripheral artery disease (PAD) and claudication who meet the 2018 physical activity (PA) time-intensity guidelines, and we identified the clinical characteristics associated with the status of meeting the guidelines. Methods: Five hundred seventy-two patients were assessed on their daily ambulatory activity for 1 wk with a step activity monitor, and were evaluated on whether or not they achieved 150 min/wk of moderate-intensity PA. Results: Thirty-one percent (n = 175) of the patients with PAD met the PA time-intensity guidelines and 69% (n = 397) did not. In a final multivariable logistic regression model identifying the independent predictors of meeting the PA time-intensity guidelines from clinical characteristics, diabetes was the only significant variable entered (OR = 0.310: 95% CI, 0.175-0.538; P <.001) and was associated with a 69% lower chance of meeting the guidelines. Patients with diabetes spent less daily time in moderate-intensity ambulatory PA than patients without diabetes (15 ± 13 vs 23 ± 20 min/d; P <.001). Conclusions: Thirty-one percent of patients with PAD and claudication met the PA time-intensity guidelines. Furthermore, patients with diabetes were least likely to meet the PA time-intensity guidelines, as they had a 69% lower chance than patients without diabetes. The clinical significance is that PAD patients who have diabetes are particularly susceptible to being physically sedentary, and are therefore prime patients who should be encouraged to increase their daily PA.  Copyright © 2022 Wolters Kluwer Health, Inc. All rights reserved.",claudication; diabetes; exercise; peripheral artery disease; physical activity,Diabetes Mellitus; Exercise; Humans; Intermittent Claudication; Peripheral Arterial Disease; adult; Article; claudication; clinical assessment; clinical feature; clinical significance; diabetes mellitus; diabetic patient; exercise; female; human; major clinical study; male; moderate intensity exercise; physical activity; practice guideline; exercise; intermittent claudication; peripheral arterial disease,"""Physical Activity, Rehabilitation, and Health Outcomes in Medical Conditions""",Impact of Exercise and Rehabilitation on Quality of Life and Health in Patients,Impact of Exercise on Health and Rehabilitation
Hakamata T.; Muroi D.; Kodama K.; Kondo Y.; Higuchi T.,"Hakamata, T. (57229950600); Muroi, D. (57191358858); Kodama, K. (55036808500); Kondo, Y. (57219251978); Higuchi, T. (55702546800)",57229950600; 57191358858; 55036808500; 57219251978; 55702546800,Haptic feedback intervention decreases the spatial margin when older adults walk through a narrow space,2022,Journal of Physiological Anthropology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143695472&doi=10.1186%2fs40101-022-00315-y&partnerID=40&md5=d3d7f6449ece0833b68349b087bce0f4,"Background: The ability to avoid obstacles efficiently and safely is important for older adults to prevent injuries from tripping and falling. It is important to find an optimal spatial margin between the body and an obstacle considering both safety and efficiency. One side of finding the optimal margin is to decrease the margin in terms of motor efficiency. In this study, we tested whether fingertip-contact intervention to obtain haptic feedback information to perceive the relationship between body and the environment could immediately improve spatial perception and collision avoidance behavior (an instantaneous effect). Methods: Twenty-seven older adults (12 males and 15 females) participated in the experiment. In the intervention of the fingertip-contact group, they lightly touched the edge of a door with both fingertips while walking. The test task before and after the intervention involved grasping a horizontal bar and passing through a narrow opening. As dependent variables, we measured the spatial margin and the collision rate. Results: The fingertip-contact group showed a significant decrease in the spatial margin after the intervention. On the other hand, there was no significant improvement in the collision rate after the intervention but rather a decrease only in the control group. Conclusion: The results obtained in this study indicate that touching obstacles with the fingertips had an instantaneous effect, leading to efficient movement learning, although a possible side effect of an increased collision rated was also found. The proposed intervention might promote an efficiency-based strategy due to learning the spatial relationship between the body and the environment, and it may suppress the excessive avoidance of older adults. © 2022, The Author(s).",Aperture passing; Error learning; Fingertip contact; Haptic feedback; Obstacle avoidance,Aged; Feedback; Female; Haptic Technology; Humans; Male; Movement; Touch; Walking; aged; feedback system; female; human; male; movement (physiology); touch; walking,Noise,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,Impact of Visual and Virtual Reality Interventions in Sports and Rehabilitation
Legutke B.R.; Gobbi L.T.B.; Orcioli-Silva D.; Santos P.C.R.D.; Moraca G.A.G.; Vitório R.; Beretta V.S.,"Legutke, Beatriz Regina (57224155989); Gobbi, Lilian Teresa Bucken (57802665100); Orcioli-Silva, Diego (58256003700); Santos, Paulo Cezar Rocha dos (57204441432); Moraca, Gabriel Antonio Gazziero (57214181160); Vitório, Rodrigo (36088266400); Beretta, Victor Spiandor (56966542400)",57224155989; 57802665100; 58256003700; 57204441432; 57214181160; 36088266400; 56966542400,Transcranial direct current stimulation suggests not improving postural control during adapted tandem position in people with Parkinson's disease: A pilot study,2023,Behavioural Brain Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164781095&doi=10.1016%2fj.bbr.2023.114581&partnerID=40&md5=d69e6190e1c34aa557c46f9fe73af82f,"Background: Balance impairments in people with Parkinson's disease (PD) demonstrated mainly in challenging postural tasks, such as increased body oscillation may be attributed to the deficits in the brain structures functionality involved in postural control (e.g., motor cortex, midbrain, and brainstem). Although promising results, the effect of transcranial direct current stimulation (tDCS) on postural control in people with PD is unclear, especially in objective measures such as the center of pressure (CoP) parameters. Thus, we analyzed the effects of a single session of tDCS on the CoP parameters during the adapted tandem position in people with PD. Methods: Nineteen people with PD participated in this crossover, randomized, and double-blind study. Anodal tDCS was applied over the primary motor cortex in two conditions of stimulation (2 mA/active and sham) on two different days for 20 min immediately before the postural control evaluation. Participants remained standing in an adapted tandem position for the postural control assessment for 30 s (three trials). CoP parameters were acquired by a force plate. Results: No significant differences were demonstrated between stimulation conditions (p-value range = 0.15–0.89). Conclusions: Our results suggested that a single session of tDCS with 2 mA does not improve the postural control of people with PD during adapted tandem. © 2023 Elsevier B.V.",Balance; Brain stimulation; Electrical stimulation; Kinetic; Movement disorders; Neurodegenerative disease,Double-Blind Method; Humans; Parkinson Disease; Pilot Projects; Postural Balance; Transcranial Direct Current Stimulation; levodopa; aged; Article; body equilibrium; body position; burning sensation; clinical article; controlled study; crossover procedure; disease duration; double blind procedure; female; Hoehn and Yahr scale; human; male; MDS-Unified Parkinson Disease Rating Scale; Mini Mental State Examination; motor dysfunction; Parkinson disease; pilot study; postural instability; primary motor cortex; randomized controlled trial; skin irritation; skin pruritus; skin redness; skin tingling; somnolence; standing; transcranial direct current stimulation; treatment failure; body equilibrium; Parkinson disease; physiology; procedures,"""Effects of Various Interventions on Postural Stability and Balance Control""",Postural Stability and Lower Limb Motor Control Studies,Evaluation and Improvement of Postural Balance and Muscle Strength
Wullems J.A.; Verschueren S.M.P.; Degens H.; Morse C.I.; Onambélé-Pearson G.L.,"Wullems, Jorgen A. (57184256400); Verschueren, Sabine M. P. (6603747889); Degens, Hans (7003441068); Morse, Christopher I. (35583956200); Onambélé-Pearson, Gladys L. (58511792500)",57184256400; 6603747889; 7003441068; 35583956200; 58511792500,Concurrent Validity of Four Activity Monitors in Older Adults,2024,Sensors,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184654836&doi=10.3390%2fs24030895&partnerID=40&md5=7c8e6db4be6258394a86e01ea829f565,"Sedentary behaviour (SB) and physical activity (PA) have been shown to be independent modulators of healthy ageing. We thus investigated the impact of activity monitor placement on the accuracy of detecting SB and PA in older adults, as well as a novel random forest algorithm trained on data from older persons. Four monitor types (ActiGraph wGT3X-BT, ActivPAL3c VT, GENEActiv Original, and DynaPort MM+) were simultaneously worn on five anatomical sites during ten different activities by a sample of twenty older adults (70.0 (12.0) years; 10 women). The results indicated that collecting metabolic equivalent (MET) data for 60 s provided the most representative results, minimising variability. In addition, thigh-worn monitors, including ActivPAL, Random Forest, and Sedentary Sphere—Thigh, exhibited superior performance in classifying SB, with balanced accuracies ≥ 94.2%. Other monitors, such as ActiGraph, DynaPort MM+, and GENEActiv Sedentary Sphere—Wrist, demonstrated lower performance. ActivPAL and GENEActiv Random Forest outperformed other monitors in participant-specific balanced accuracies for SB classification. Only thigh-worn monitors achieved acceptable overall balanced accuracies (≥80.0%) for SB, standing, and medium-to-vigorous PA classifications. In conclusion, it is advisable to position accelerometers on the thigh, collect MET data for ≥60 s, and ideally utilise population-specific trained algorithms. © 2024 by the authors.",accelerometry; ageing; physical behaviour,Accelerometers; Forestry; Accelerometry; Actigraph; Activity monitors; Metabolic equivalents; Older adults; Performance; Physical activity; Physical behaviors; Random forest algorithm; Random forests; Population statistics,"""Physical Activity and Health Outcomes in Aging Populations""",Physical Activity and Health in Older Adults,Wearable Devices and Techniques in Gait Analysis and Mobility Rehabilitation
Clifford B.K.; Kaakoush N.O.; Tedla N.; Goldstein D.; Simar D.,"Clifford, Briana K. (57195682132); Kaakoush, Nadeem O. (8833063900); Tedla, Nicodemus (6602320900); Goldstein, David (55757206600); Simar, David (6505936107)",57195682132; 8833063900; 6602320900; 55757206600; 6505936107,The effect of exercise intensity on the inflammatory profile of cancer survivors: A randomised crossover study,2023,European Journal of Clinical Investigation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150995676&doi=10.1111%2feci.13984&partnerID=40&md5=30698ac17e4bb7c1133b246b9573a975,"Background: Systemic inflammation has been clearly linked to poorer health outcomes from cancer diagnosis through to survivorship. There is accumulating evidence that exercise can reduce inflammation. However, the optimal intensity of exercise to reduce systemic inflammation is unknown. Aims: The aim of this randomised crossover study was to identify the difference between high- and low-intensity aerobic exercise on the inflammatory profile of cancer survivors after a single exercise session (acute) and a short training period (six sessions over 2 weeks). Method: Participants (n = 20) were randomised to either low- or high-intensity exercise. They underwent 2 weeks of stationary cycling at their assigned intensity and then underwent a 6-week washout period of no exercise before returning to complete 2 weeks of exercise at the remaining intensity. Results: Twenty participants with a mean age of 56.4 (±9.4) years were enrolled and completed the intervention. There was no effect of exercise intensity after a single exercise session. After 2 weeks of training, there was a significant effect of intensity on chemokines CCL2 (mean difference ± SEM; 13.2 pg/mL ± 5.0, p =.04) and CXCL12 (150.3 pg/mL ± 51.8, p =.02), where CCL2 was decreased after low-intensity exercise and CXCL12 decreased after high-intensity exercise. Discussion: Our data suggest that while exercise intensity may impact different cell types in the circulation, both low- and high-intensity exercise can positively modulate inflammatory markers. Conclusion: The potential to scale up low-intensity exercise over time is likely to be more broadly applicable and achievable for cancer survivor cohorts while still eliciting beneficial effects on systemic inflammation. © 2023 The Authors. European Journal of Clinical Investigation published by John Wiley & Sons Ltd on behalf of Stichting European Society for Clinical Investigation Journal Foundation.",cancer; chemokines; cytokines; exercise; inflammation; survivorship,Cancer Survivors; Cross-Over Studies; Exercise; Humans; Inflammation; Middle Aged; Neoplasms; Quality of Life; chemokine receptor CXCR4; monocyte chemotactic protein 1; adult; aerobic exercise; Article; cancer chemotherapy; cancer hormone therapy; cancer radiotherapy; cancer surgery; cancer survivor; clinical article; cohort analysis; controlled study; crossover procedure; cycling; exercise intensity; female; high intensity exercise; human; inflammation; low intensity exercise; male; middle aged; randomized controlled trial; exercise; inflammation; neoplasm; quality of life,"""Physical Activity, Rehabilitation, and Health Outcomes in Medical Conditions""",Impact of Exercise and Rehabilitation on Quality of Life and Health in Patients,Exercise Programs and Physical Activity in Cancer Recovery
Zhou S.; Bender A.; Kutzner I.; Dymke J.; Maleitzke T.; Perka C.; Duda G.N.; Winkler T.; Damm P.,"Zhou, Sijia (57666466000); Bender, Alwina (16021152200); Kutzner, Ines (26321715100); Dymke, Jörn (37161287100); Maleitzke, Tazio (55755833500); Perka, Carsten (35498324200); Duda, Georg N. (7005128043); Winkler, Tobias (12799957600); Damm, Philipp (35104438000)",57666466000; 16021152200; 26321715100; 37161287100; 55755833500; 35498324200; 7005128043; 12799957600; 35104438000,Loading of the Hip and Knee During Swimming: An in Vivo Load Study,2023,Journal of Bone and Joint Surgery,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180401585&doi=10.2106%2fJBJS.23.00218&partnerID=40&md5=352844db0e1ff27c7ef20fe4284e38d8,"Background:Swimming is commonly recommended as postoperative rehabilitation following total hip arthroplasty (THA) and total knee arthroplasty (TKA). So far, in vivo hip and knee joint loads during swimming remain undescribed.Methods:In vivo hip and knee joint loads were measured in 6 patients who underwent THA and 5 patients who underwent TKA with instrumented joint implants. Joint loads, including the resultant joint contact force (FRes), torsional moment around the femoral shaft axis or the tibial axis (MTors), bending moment at the middle of the femoral neck (MBend), torsional moment around the femoral neck axis (MTne), and medial force ratio (MFR) in the knee, were measured during breaststroke swimming at 0.5, 0.6, and 0.7 m/s and the breaststroke and crawl kicks at 0.5 and 1.0 m/s.Results:The ranges of the median maximal FReswere 157% to 193% of body weight for the hip and 93% to 145% of body weight for the knee during breaststroke swimming. Greater maxima of FRes(hip and knee), MTors(hip and knee), MBend(hip), and MTne(hip) were observed with higher breaststroke swimming velocities, but significance was only identified between 0.5 and 0.6 m/s in FRes(p = 0.028), MTors(p = 0.028), and MBend(p = 0.028) and between 0.5 and 0.7 m/s in FRes(p = 0.045) in hips. No difference was found in maximal MFR between different breaststroke swimming velocities. The maximal FReswas significantly positively correlated with the breaststroke swimming velocity (hip: r = 0.541; p < 0.05; and knee: r = 0.414; p < 0.001). The maximal FRes(hip and knee) and moments (hip) were higher in the crawl kick than in the breaststroke kick, and a significant difference was recognized in FRes Maxfor the hip: median, 179% versus 118% of body weight (p = 0.028) for 0.5 m/s and 166% versus 133% of body weight (p = 0.028) for 1.0 m/s.Conclusions:Swimming is a safe and low-impact activity, particularly recommended for patients who undergo THA or TKA. Hip and knee joint loads are greater with higher swimming velocities and can be influenced by swimming styles. Nevertheless, concrete suggestions to patients who undergo arthroplasty on swimming should involve individual considerations.Level of Evidence:Therapeutic Level IV. See Instructions for Authors for a complete description of levels of evidence. © 2023 Lippincott Williams and Wilkins. All rights reserved.",,"Arthroplasty, Replacement, Hip; Arthroplasty, Replacement, Knee; Body Weight; Hip; Humans; Knee Joint; Swimming; adult; aged; anterior cruciate ligament reconstruction; arthroscopy; Article; bariatric surgery; biomechanics; clinical article; female; femoral neck; femoral shaft; ground reaction force; human; joint function; knee function; knee joint; knee osteoarthritis; male; muscle strength; osteolysis; swimming; total hip replacement; total knee arthroplasty; body weight; hip; hip replacement; knee; knee replacement; surgery; swimming","""Sports-Related Injury, Rehabilitation, and Performance Studies""",Rehabilitation and Assessment in Athletes with Chronic Ankle Instability,Advancements and Outcomes of Knee Arthroplasty and Rehabilitation Techniques
Hopkins J.; Hill K.; Jacques A.; Burton E.,"Hopkins, Jane (58412159600); Hill, Keith (35518345000); Jacques, Angela (57800876500); Burton, Elissa (43760932000)",58412159600; 35518345000; 57800876500; 43760932000,"Prevalence, risk factors and effectiveness of falls prevention interventions for adults living with Mild Cognitive Impairment in the community: A systematic review and meta-analysis",2023,Clinical Rehabilitation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139398441&doi=10.1177%2f02692155221129832&partnerID=40&md5=0b3183efa216904e9d3841c88777537c,"Objectives: To identify falls prevalence, falls risk factors and evaluate the effectiveness of falls prevention interventions for community-dwelling people with Mild Cognitive Impairment. Data sources: Peer-reviewed articles (inception to 4 August 2022) from PubMed, CINAHL, PsycInfo, EMBASE, Scopus, SportDiscus and the Cochrane library. Review methods: All types of methodological approaches were considered. Inclusion criteria were community-dwelling; diagnosis of Mild Cognitive Impairment; aged 50+ years. Interventions needed to include falls prevention programs aiming to reduce falls and/or risk of falls. Outcomes of interest included number and/or rate of falls, falls prevalence and falls risk factors. For controlled trials, any control group was included. Quality assessment was completed using Cochrane's Risk of Bias Tool for randomized controlled trials and the Standard Quality Assessment Criteria for Evaluating Primary Research Papers from a Variety of Fields for all other studies. Where statistical data pooling was not possible, narrative synthesis was used to present data in tables and figures. Results: Forty-seven studies were included. Prevalence of falls was 43% when data were gathered prospectively for 12 months. Confirmed falls risk factors included slow gait, dual-tasking, postural control and non-amnesic Mild Cognitive Impairment. Few studies evaluated interventions to reduce falls. Six meta-analyses were conducted, no significant reduction in falls was found. Conclusions: Until further high-quality, adequately powered studies are available to guide practice, best practice guidelines recommend balance training as a core component of falls prevention programs for older people generally, as well as people with Mild Cognitive Impairment. © The Author(s) 2022.",accidental fall; community-dwelling; Mild Cognitive Disorder,Adult; Aged; Cognitive Dysfunction; Exercise; Humans; Prevalence; Risk Factors; adult; aged; cognitive defect; exercise; human; meta analysis; prevalence; risk factor,"""Balance, Mobility, and Fall Risks in Aging and Musculoskeletal Conditions""",Impact and Control of Chronic Low Back Pain and Balance in Older Adults,Fall Prevention and Balance Improvement in the Elderly
Jakobsen T.L.; Thorborg K.; Fisker J.; Kallemose T.; Bandholm T.,"Jakobsen, Thomas Linding (57212829000); Thorborg, Kristian (36146306900); Fisker, Jakob (57728709400); Kallemose, Thomas (56184211700); Bandholm, Thomas (15047587300)",57212829000; 36146306900; 57728709400; 56184211700; 15047587300,Blood flow restriction added to usual care exercise in patients with early weight bearing restrictions after cartilage or meniscus repair in the knee joint: a feasibility study,2022,Journal of Experimental Orthopaedics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139386806&doi=10.1186%2fs40634-022-00533-4&partnerID=40&md5=e0f025f67b05c0f387189cb3bff41536,"Purpose: Blood flow restriction – low load strength training (BFR-LLST) is theoretically superior to traditional heavy strength training when rehabilitating patients who cannot heavily load tissues following surgery. The main purpose of this study was to examine the feasibility of BFR-LLST added to usual care exercise early after cartilage or meniscus repair in the knee joint. Methods: We included 42 patients with cartilage (n = 21) or meniscus repair (n = 21) of the knee joint. They attended 9 weeks of BFR-LLST added to a usual care exercise program at an outpatient rehabilitation center. Outcome measures were assessed at different time points from four (baseline) to 26 weeks postoperatively and included adherence, harms, knee joint and thigh pain, perceived exertion, thigh circumference (muscle size proxy), isometric knee-extension strength, self-reported disability and quality of life. Results: On average, patients with cartilage or meniscus repair completed > 84% of the total BFR-LLST supervised sessions. Thirty-eight patients reported 146 adverse events of which none were considered serious. No decrease in thigh circumference or exacerbation of knee joint or quadriceps muscle pain of the operated leg was found in either group during the intervention period. Conclusions: BFR-LLST added to usual care exercise initiated early after cartilage or meniscus repair seems feasible and may prevent disuse thigh muscle atrophy during a period of weight bearing restrictions. Harms were reported, but no serious adverse events were found. Our findings are promising but need replication using a RCT-design. Trial registration: NCT03371901, preprint (open access): https://www.medrxiv.org/content/10.1101/2022.03.31.22272398v1 © 2022, The Author(s).",Blood flow restriction exercise; Cartilage; Feasibility studies; Meniscus; Rehabilitation; Surgery,morphine; nonsteroid antiinflammatory agent; opiate; paracetamol; adult; aged; anterior cruciate ligament reconstruction; arthralgia; arthrodesis; Article; blood flow restriction training; body mass; cartilage; clinical article; dizziness; elbow flexion; exercise; fatigue; female; femoral condyle; follow up; grip strength; human; knee; knee function; knee meniscus; knee meniscus rupture; knee pain; lean body weight; male; meniscal repair; muscle atrophy; muscle mass; muscle strength; myalgia; osteoarthritis; patellofemoral joint; physical activity; pilot study; polysomnography; quadriceps femoris muscle; quality of life; questionnaire; randomized controlled trial; range of motion; reconstructive surgery; rehabilitation center; resistance training; thigh circumference; visual analog scale; weight bearing,"""Effects and Applications of Blood Flow Restriction in Exercise Rehabilitation and Performance Enhancement""",Blood Flow Restriction Therapy in Low-Resistance Rehabilitation Exercises,Physical Therapy and Rehabilitation in Osteoarthritis Patients
Heo C.-U.; Choi Y.,"Heo, Chung-Uk (57205264750); Choi, Youngsoon (57191860876)",57205264750; 57191860876,Effects of Physical Activity on Subjective Health Perception of Metabolic Syndrome Korean Elderly,2022,Journal for ReAttach Therapy and Developmental Diversities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146654860&partnerID=40&md5=6549049da3c4512947762ea8cf40ffc5,"This study was meant to examine the impact of physical work on the subjective health perspectives of older persons with metabolic illness in order to develop a well-being training programme and nursing intervention programme for patients with metabolic illness. The Korea Centers for Disease Control and Prevention evaluated the results of the 2019 National Health and Nutrition Examination Survey, as well as 1,735 older people for the data collection, served as the study's subjects. The statistical software SPSS 21.0 was used. To validate the segment properties of the review subjects, frequency analysis was done. In order to confirm the relationship between physical activity and perceived subjective health, metabolic illnesses such hypertension, dyslipidemia, and diabetes were the focus of the correlation study. Multiple regression analysis was used to examine the effect of physical work on the subjective health of the older population with metabolic infection. observing the connections between the study model's elements, factors like subjective health perception insight, physical work (strolling, strength work out), drinking, and home showed positive correlation. Respondent's age showed a negative connection between's subjective health perception discernments. Strolling, strength exercise, and liquor utilization affected subjective health perception in the hypertensive old populace. Strolling and strength practice in the dyslipidemic old affected subjective health perception. Strolling and strength practice in diabetic older affected subjective health perception. Actual work influences the subjective health perception impression of the older with metabolic condition © 2022, Journal for ReAttach Therapy and Developmental Diversities.All Rights Reserved.",Elderly; Metabolic syndrome; Physical activity; Subjective health perception,,"""Physical Activity and Health Outcomes in Aging Populations""",Physical Activity and Health in Older Adults,Physical Activity and Health Risks
Juneja H.; Frandsen C.; Nielsen N.O.; Larsen K.; Praestegaard J.,"Juneja, Hemant (57192908460); Frandsen, Christian (57194719050); Nielsen, Nina Odgaard (56817076000); Larsen, Kim (58431735400); Praestegaard, Jeanette (53986614700)",57192908460; 57194719050; 56817076000; 58431735400; 53986614700,Reliability of the Wii Balance Board for measurement of steady state balance in children aged 6-9 years,2023,Journal of Pediatric Rehabilitation Medicine,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163905801&doi=10.3233%2fPRM-210106&partnerID=40&md5=3a100c78819b54241813758a185aa75e,"PURPOSE: The Wii Balance Board (WBB) can be used for assessment of steady state balance (SSB), but its reliability has not been studied in children aged 6-9 years. This study aimed to determine the test-retest reliability of the WBB for measuring SSB in this population. A secondary aim was to determine the minimum detectable change (MDC) and standard error of measurement (SEM) of the WBB in children aged 6-9 years. METHODS: 52 children between 6-9 years of age participated. 'One leg stand balance' was used to assess center of pressure velocity (COPV) and center of pressure area (COPA) on three occasions by the same tester. Two tests were conducted on the same day (Day 1) and the third test was performed on another day (Day 2), with a period of 5-13 days between the two test days. Intraclass correlation coefficient (ICC 3,1), SEMs, and MDC were calculated. RESULTS: Intra-day test-retest reliability of COPA was found to be good (ICC3,1 =0.86; 95% confidence interval [CI]: 0.75, 0.92) and that of COPV was also found to be good (ICC3,1 =0.87; 95% CI: 0.77, 0.92). Inter-day test-retest reliability was found to be good for COPA (ICC3,1 = 0.87; 95% CI: 0.75, 0.93) and COPV (ICC3,1 = 0.89; 95% CI: 0.81, 0.94). SEM for COPA in intra-day testing was 18.90 mm2 (15.78%), and in inter-day testing it was 16.44 mm2 (13.61%). SEM for COPV in intra-day testing was 1.12 mm/s (7.6%), and in inter-day testing it was 1.01 mm/s (6.9%). MDC for COPA in intra-day testing was 52.41mm2 (42.75%), and in inter-day testing was 45.58 mm2 (35.75%). MDC for COPV in intra-day testing was 3.11 mm/s (21.2%), and in inter-day testing it was 2.80 mm/s (18.9%). CONCLUSION: The WBB has good test-retest reliability for assessing SSB of children between 6-9 years. COPA measurements appear to be less sensitive to clinical changes in SSB when compared to COPV. Assessment of validity of the WBB in this age group is recommended before it can be considered as a potential balance assessment tool in children.  © 2023-IOS Press. All rights reserved.",center of pressure; reliability; steady state balance; Wii Balance Board,Child; Humans; Postural Balance; Reproducibility of Results; Video Games; article; child; correlation coefficient; groups by age; human; leg; minimum detectable change; preschool child; reliability; school child; steady state; test retest reliability; validity; body equilibrium; reproducibility; video game,Noise,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,Evaluation and Improvement of Postural Balance and Muscle Strength
Dartus J.; Kahhaleh E.; Belzile E.L.; Matache B.A.,"Dartus, Julien (57210133745); Kahhaleh, Edward (57222428409); Belzile, Etienne L. (8665763000); Matache, Bogdan A. (55979095900)",57210133745; 57222428409; 8665763000; 55979095900,"Arthroscopic Repair of the “Tibial Avulsion Triad”—ACL Posterolateral Bundle, PCL, and Lateral Meniscus Posterior Root: The Triple Tunnel Technique",2022,Arthroscopy Techniques,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149841201&doi=10.1016%2fj.eats.2022.08.045&partnerID=40&md5=4e57e0dc325e97861dc699ffce539da9,"Tibial avulsion fractures of the posterior cruciate ligament (PCL) are rare injuries that can be fixed either via and open or arthroscopic approach to restore native knee biomechanics. The advantage of arthroscopic fixation is the ability to treat concomitant intra-articular pathologies that are otherwise difficult to identify and manage via an open approach, such as medial meniscal root tears and avulsions. This technical note describes an all-arthroscopic technique of treating a rare and previously undescribed injury pattern consisting of PCL tibial and lateral meniscus posterior root bony avulsions and ACL posterolateral bundle tibial peel-off, termed the “tibial avulsion triad”. © 2022 The Authors",,anatomic landmark; anterior cruciate ligament posterolateral bundle; arthrofibrosis; arthropathy; arthroscopy; Article; avulsion fracture; human; iatrogenic disease; lateral meniscus posterior root; nerve injury; posterior cruciate ligament; postoperative care; rehabilitation care; risk; scorpion; surgical technique; tibia fracture; tibial tuberosity,"""Studies and Analysis on Knee Surgery and Rehabilitation""",Knee Injury Rehabilitation and Treatment Outcomes,Anterior Cruciate Ligament (ACL) Reconstruction and Outcome Factors
